Pollster,Commissioner,APC_compliant,PublicationDate,FieldedStart,FieldedEnd,Fielded_Days,Method,SampleSize,EffectiveSampleSize,MarginOfError,2PP_calc_method,LNP,ALP,GRN,PHON,UAP,OTHER,UND,ALP_2PP,LNP_2PP,ALP_2PPplus_Essential,LNP_2PPplus_Essential,UND_2PPplus_Essential,DisclosureStatement,OriginalStory,Notes,,Link,Link 2
YouGov Galaxy,The Australian,Yes,7/6/2021,2/6/2021,5/6/2021,4,Online,1516,1058,3,Previous preference flows,41,36,11,3,,9,7,50,50,,,,https://docs.cdn.yougov.com/c4kuadg9c1/Newspoll%207%20June%202021%20Methodology%20Statement.pdf,,,,,
YouGov Galaxy,The Australian,Yes,16/5/2021,13/5/2021,16/5/2021,4,Online,1506,1163,2.9,Previous preference flows,41,36,12,2,,9,6,51,49,,,,http://docs.cdn.yougov.com/8sz0wdplk3/16052021_Newspoll_Public%20Polling%20Methodology%20Statement.pdf,,First Newspoll since formation of Australian Polling Council,,,
YouGov Galaxy,The Australian,No,25/4/2021,21/4/2021,24/4/2021,4,Online,1514,,,Previous preference flows,41,38,10,3,,8,,51,49,,,,,,,,,
YouGov Galaxy,The Australian,No,28/3/2021,24/3/2021,27/3/2021,4,Online,1517,,,Previous preference flows,40,38,11,2,,9,,52,48,,,,,,,,,
YouGov Galaxy,The Australian,No,14/3/2021,10/3/2021,13/3/2021,4,Online,1521,,,Previous preference flows,39,39,10,3,,9,,52,48,,,,,,,,,
YouGov Galaxy,The Australian,No,21/2/2021,17/2/2021,20/2/2021,4,Online,1504,,,Previous preference flows,42,37,10,3,,8,,50,50,,,,,,,,,
YouGov Galaxy,The Australian,No,31/1/2021,27/1/2021,30/1/2021,4,Online,1512,,,Previous preference flows,42,36,10,3,,9,,50,50,,,,,,,,,
YouGov Galaxy,The Australian,No,29/11/2020,25/11/2020,28/11/2020,4,Online,1511,,,Previous preference flows,43,36,11,2,,8,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,8/11/2020,4/11/2020,7/11/2020,4,Online,1510,,,Previous preference flows,43,34,11,3,,8,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,11/10/2020,7/10/2020,10/10/2020,4,Online,1527,,,Previous preference flows,44,34,11,3,,8,,48,52,,,,,,,,,
YouGov Galaxy,The Australian,No,20/9/2020,16/9/2020,19/9/2020,4,Online,2068,,,Previous preference flows,43,34,12,3,,8,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,30/8/2020,26/8/2020,29/8/2020,4,Online,1507,,,Previous preference flows,41,36,11,3,,9,,50,50,,,,,,,,,
YouGov Galaxy,The Australian,No,9/8/2020,5/8/2020,8/8/2020,4,Online,1509,,,Previous preference flows,43,33,11,4,,9,,48,52,,,,,,,,,
YouGov Galaxy,The Australian,No,19/7/2021,15/7/2020,18/7/2020,4,Online,1850,,,Previous preference flows,44,34,10,4,,8,,47,53,,,,,,,,,
YouGov Galaxy,The Australian,No,27/6/2020,24/6/2020,27/6/2020,4,Online,1521,,,Previous preference flows,42,35,11,3,,9,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,6/6/2020,3/6/2020,6/6/2020,4,Online,1512,,,Previous preference flows,42,34,12,4,,9,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,16/5/2020,13/5/2020,16/5/2020,4,Online,1504,,,Previous preference flows,43,35,10,3,,9,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,25/4/2020,22/4/2020,25/4/2020,4,Online,1519,,,Previous preference flows,41,36,12,4,,7,,50,50,,,,,,,,,
YouGov Galaxy,The Australian,No,4/4/2020,1/4/2020,4/4/2020,4,Online,1508,,,Previous preference flows,42,34,13,5,,6,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,14/3/2020,11/3/2020,14/3/2020,4,Online,1501,,,Previous preference flows,40,36,12,4,,8,,51,49,,,,,,,,,
YouGov Galaxy,The Australian,No,22/2/2020,19/2/2020,22/2/2020,4,Online,1513,,,Previous preference flows,38,34,13,4,,11,,51,49,,,,,,,,,
YouGov Galaxy,The Australian,No,1/2/2020,29/1/2020,1/2/2020,4,Online,1510,,,Previous preference flows,38,35,13,4,,10,,52,48,,,,,,,,,
YouGov Galaxy,The Australian,No,11/1/2020,8/1/2020,11/1/2020,4,Online,1505,,,Previous preference flows,40,36,12,4,,8,,51,49,,,,,,,,,
YouGov Galaxy,The Australian,No,8/12/2019,4/12/2019,8/12/2019,5,Online,1503,,,Previous preference flows,42,33,11,5,,9,,48,52,,,,,,,,,
YouGov Galaxy,The Australian,No,23/11/2019,20/11/2019,23/11/2019,4,Online,1519,,,Previous preference flows,41,33,12,5,,9,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,10/11/2019,7/11/2019,10/11/2019,4,Online/IVR,1682,,,Previous preference flows,40,35,12,7,,6,,50,50,,,,,,,,,
YouGov Galaxy,The Australian,No,19/10/2019,17/10/2019,19/10/2019,3,Online/IVR,1634,,,Previous preference flows,42,33,13,6,,6,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,28/9/2019,26/9/2019,28/9/2019,3,Online/IVR,1658,,,Previous preference flows,42,33,13,6,,6,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,7/9/2019,5/9/2019,7/9/2019,3,Online/IVR,1661,,,Previous preference flows,43,35,12,5,,5,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,18/8/2019,15/8/2019,18/8/2019,4,Online/IVR,1623,,,Previous preference flows,42,34,11,4,,9,,49,51,,,,,,,,,
YouGov Galaxy,The Australian,No,28/7/2019,25/7/2019,28/7/2019,4,Online/IVR,1601,,,Previous preference flows,44,33,11,3,,9,,47,53,,,,,,,,,
Essential,The Guardian,No,13/1/2020,8/1/2020,11/1/2020,4,Online,1081,1005,3.1,Respondent allocated,36,35,10,5,1,7,6,0.521276596,0.478723404,49,45,6,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,28/1/2020,22/1/2020,28/1/2020,7,Online,1080,1010,3.1,Respondent allocated,37,35,9,6,1,6,7,0.521276596,0.478723404,49,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,10/2/2020,5/2/2020,10/2/2020,6,Online,1057,999,3.1,Respondent allocated,34,36,10,6,1,7,7,0.532608696,0.467391304,49,43,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,24/2/2020,19/2/2020,23/2/2020,5,Online,1090,974,3.1,Respondent allocated,38,36,10,4,1,5,7,0.516129032,0.483870968,48,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,10/3/2020,4/3/2020,9/3/2020,6,Online,1095,997,3.1,Respondent allocated,38,35,8,5,1,6,7,0.505376344,0.494623656,47,46,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,22/3/2020,19/3/2020,22/3/2020,4,Online,1032,891,3.3,Respondent allocated,37,34,10,3,1,7,8,0.52173913,0.47826087,48,44,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,31/3/2020,25/3/2020,31/3/2020,7,Online,1090,1012,3.1,Respondent allocated,38,34,10,4,1,5,8,0.505494505,0.494505495,46,45,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,6/4/2020,1/4/2020,6/4/2020,6,Online,1067,1004,3.1,Respondent allocated,36,35,10,3,1,6,8,0.510869565,0.489130435,47,45,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,13/4/2020,8/4/2020,12/4/2020,5,Online,1064,1001,3.1,Respondent allocated,38,35,10,5,1,5,8,0.505376344,0.494623656,47,46,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,20/4/2020,15/4/2020,19/4/2020,5,Online,1051,961,3.2,Respondent allocated,40,32,10,5,1,5,7,0.52688172,0.47311828,49,44,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,27/4/2020,22/4/2020,26/4/2020,5,Online,1051,956,3.2,Respondent allocated,40,34,10,4,1,5,7,0.516129032,0.483870968,48,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,4/5/2020,29/4/2020,3/5/2020,5,Online,1093,1015,3.1,Respondent allocated,38,34,10,4,2,4,8,0.510869565,0.489130435,47,45,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,11/5/2020,6/5/2020,11/5/2020,6,Online,1067,982,3.1,Respondent allocated,41,31,9,3,2,5,8,0.462365591,0.537634409,43,50,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,18/5/2020,13/5/2020,18/5/2020,6,Online,1073,971,3.1,Respondent allocated,38,35,8,3,2,5,9,0.5,0.5,45,45,9,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,25/5/2020,21/5/2020,25/5/2020,5,Online,1087,970,3.1,Respondent allocated,39,33,11,5,1,4,7,0.505376344,0.494623656,47,46,7,,https://essentialvision.com.au/wp-content/uploads/2020/05/Essential-Report-180520-1.pdf,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,1/6/2020,27/5/2020,31/5/2020,5,Online,1059,991,3.1,Respondent allocated,39,32,10,5,2,6,7,0.489361702,0.510638298,46,48,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,9/6/2020,3/6/2020,8/6/2020,6,Online,1073,953,3.2,Respondent allocated,40,33,9,4,1,5,8,0.489130435,0.510869565,45,47,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,15/6/2020,10/6/2020,15/6/2020,6,Online,1087,1013,3.1,Respondent allocated,38,35,9,5,2,5,7,0.5,0.5,47,47,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,22/6/2020,17/6/2020,21/6/2020,5,Online,1079,1010,3.1,Respondent allocated,39,33,10,5,1,5,7,0.489361702,0.510638298,46,48,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,29/6/2020,25/6/2020,29/6/2020,5,Online,1085,976,3.1,Respondent allocated,39,33,9,4,1,5,8,0.489130435,0.510869565,45,47,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,13/7/2020,8/7/2020,12/7/2020,5,Online,1048,882,3.3,Respondent allocated,37,34,10,4,1,5,9,0.505494505,0.494505495,46,45,9,,https://essentialvision.com.au/wp-content/uploads/2020/07/Essential-Report-130720.pdf,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,27/7/2020,22/7/2020,27/7/2020,6,Online,1060,986,3.1,Respondent allocated,38,35,9,4,1,5,8,0.510869565,0.489130435,47,45,8,,https://essentialvision.com.au/wp-content/uploads/2020/07/Essential-Report-270720.pdf,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,10/8/2020,5/8/2020,10/8/2020,6,Online,1008,905,3.3,Respondent allocated,38,34,9,4,0,5,10,0.488888889,0.511111111,44,46,10,,https://essentialvision.com.au/wp-content/uploads/2020/08/Essential-Report-100820.pdf,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,24/8/2020,20/8/2020,24/8/2020,5,Online,1068,952,3.2,Respondent allocated,39,35,9,4,1,5,7,0.489130435,0.510869565,45,47,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,7/9/2020,2/9/2020,7/9/2020,6,Online,1076,972,3.1,Respondent allocated,38,32,10,3,3,6,8,0.510869565,0.489130435,47,45,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,21/9/2020,16/9/2020,21/9/2020,6,Online,1081,972,3.1,Respondent allocated,41,31,10,4,1,4,9,0.461538462,0.538461538,42,49,9,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,6/10/2020,30/9/2020,6/10/2020,7,Online,1074,991,3.1,Respondent allocated,39,34,9,5,2,4,7,0.494623656,0.505376344,46,47,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,13/10/2020,8/10/2020,12/10/2020,5,Online,1083,979,3.1,Respondent allocated,40,33,9,3,1,4,9,0.47826087,0.52173913,44,48,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,19/10/2020,14/10/2020,18/10/2020,5,Online,1082,963,3.2,Respondent allocated,39,35,9,3,2,5,8,0.483870968,0.516129032,45,48,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,2/11/2020,28/10/2020,2/11/2020,6,Online,1063,925,3.2,Respondent allocated,39,35,9,3,1,4,9,0.511111111,0.488888889,46,44,9,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,17/11/2020,13/11/2020,17/11/2020,5,Online,1036,893,3.3,Respondent allocated,38,35,9,4,1,5,7,0.510869565,0.489130435,47,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,30/11/2020,25/11/2020,30/11/2020,6,Online,1034,893,3.3,Respondent allocated,41,33,8,4,1,5,8,0.467391304,0.532608696,43,49,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,14/12/2020,9/12/2020,14/12/2020,6,Online,1071,949,3.2,Respondent allocated,37,35,8,4,1,6,9,0.505494505,0.494505495,46,45,9,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,18/1/2021,13/1/2021,17/1/2021,5,Online,1084,944,3.2,Respondent allocated,40,33,10,3,2,5,7,0.483870968,0.516129032,45,48,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,1/2/2021,27/1/2021,1/2/2021,6,Online,1092,1009,3.1,Respondent allocated,37,35,10,3,2,5,8,0.516483516,0.483516484,47,44,8,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,15/2/2021,10/2/2021,15/2/2021,6,Online,1110,1010,3.1,Respondent allocated,39,35,8,4,2,5,6,0.5,0.5,47,47,6,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,1/3/2021,24/2/2021,1/3/2021,6,Online,1074,964,3.2,Respondent allocated,37,34,9,4,2,6,7,0.516129032,0.483870968,48,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,15/3/2021,8/3/2021,14/3/2021,7,Online,1124,1051,3,Respondent allocated,38,34,9,3,2,6,7,0.5,0.5,47,47,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,29/3/2021,24/3/2021,28/3/2021,5,Online,1100,979,3.1,Respondent allocated,39,36,8,3,1,6,7,0.505376344,0.494623656,47,46,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,12/4/2021,7/4/2021,11/4/2021,5,Online,1368,1260,2.8,Respondent allocated,37,36,10,3,2,5,7,0.516129032,0.483870968,48,45,7,,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,26/4/2021,21/4/2021,25/4/2021,5,Online,1090,991,3.1,Respondent allocated,39,34,10,4,1,5,7,0.5,0.5,46,46,7,,https://essentialvision.com.au/wp-content/uploads/2021/04/Essential-Report-260421.pdf,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,No,10/5/2021,5/5/2021,10/5/2021,6,Online,1092,1006,3.1,Respondent allocated,38,36,9,3,1,4,8,0.52173913,0.47826087,48,44,8,,https://essentialvision.com.au/wp-content/uploads/2021/05/Essential-Report-100521.pdf,,,,
Essential,The Guardian,Yes,24/5/2021,19/5/2021,23/5/2021,5,Online,1100,1006,3.1,Respondent allocated,37,35,10,3,1,5,8,0.52173913,0.47826087,48,44,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,https://essentialvision.com.au/wp-content/uploads/2021/05/Essential-Report-240521.pdf,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,7/6/2021,2/6/2021,6/6/2021,5,Online,1104,1019,3.1,Respondent allocated,38,35,10,4,1,5,7,0.52173913,0.47826087,48,44,7,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,21/6/2021,16/6/2021,20/6/2021,5,Online,1087,1017,3.1,Respondent allocated,38,36,10,4,1,5,7,0.510869565,0.489130435,47,45,7,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,6/7/2021,30/6/2021,4/7/2021,5,Online,1099,987,3.1,Respondent allocated,37,36,8,4,2,4,8,0.52173913,0.47826087,48,44,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,"(not including extra NSW polling that was carried out in this cycle, see disclosure statement for details)",,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,19/7/2021,14/7/2021,18/7/2021,5,Online,1100,1004,3.1,Respondent allocated,37,36,10,4,1,5,8,0.510869565,0.489130435,47,45,7,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,3/8/2021,28/7/2021,1/8/2021,5,Online,1098,1057,3,Respondent allocated,38,35,9,4,1,5,8,0.510869565,0.489130435,47,45,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/reports/federal-political-insights,
Essential,The Guardian,Yes,16/8/2021,11/8/2021,15/8/2021,5,Online,1100,1049,3,Respondent allocated,37,36,9,3,1,5,8,0.510869565,0.489130435,47,45,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential ,The Guardian,Yes,30/8/2021,25/8/2021,29/8/2021,5,Online,1100,1026,3.1,Respondent allocated,38,36,10,4,1,5,7,0.516129032,0.483870968,48,45,7,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,13/9/2021,8/9/2021,12/9/2021,5,Online,1100,1023,3.1,Respondent allocated,38,34,8,4,4,5,8,0.5,0.5,46,46,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,27/9/2021,22/9/2021,26/9/2021,5,Online,1094,1024,3.1,Respondent allocated,38,36,9,3,2,5,6,0.510638298,0.489361702,48,46,6,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,11/10/2021,6/10/2021,10/10/2021,5,Online,1097,987,3.1,Respondent allocated,36,34,9,4,2,5,9,0.505494505,0.494505495,46,45,9,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,25/10/2021,20/10/2021,24/10/2021,5,Online,1781,1120,2.9,Respondent allocated,37,36,10,3,4,4,6,0.52688172,0.47311828,49,44,6,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,Larger sample than usual due to a boost to the sample in WA and SA,,https://essentialreport.com.au/tag/federal-election,
Essential ,The Guardian,Yes,8/11/2021,3/11/2021,7/11/2021,5,Online,1089,991,3.1,Respondent allocated,37,35,9,3,2,4,10,0.511111111,0.488888889,46,44,10,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,https://essentialvision.com.au/wp-content/uploads/2021/11/Essential-Report-081121_FINAL.pdf,,,https://essentialreport.com.au/tag/federal-election,
Essential ,The Guardian,Yes,22/11/2021,17/11/2021,21/11/2021,5,Online,1095,1002,3.1,Respondent allocated,37,36,10,4,2,5,7,0.516129032,0.483870968,48,45,7,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,6/12/2021,1/12/2021,5/12/2021,5,Online,1094,1010,3.1,Respondent allocated,38,35,10,3,2,4,8,0.510869565,0.489130435,47,45,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,13/12/2021,8/12/2021,13/12/2021,6,Online,1095,988,3.1,Respondent allocated,36,36,9,4,2,6,8,0.52173913,0.47826087,48,44,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,25/1/2022,20/1/2022,23/1/2022,4,Online,1062,1001,3.1,Respondent allocated,36,37,8,3,3,6,8,0.537634409,0.462365591,50,43,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,8/2/2022,2/2/2022,6/2/2022,5,Online,1069,985,3.1,Respondent allocated,37,35,9,4,2,5,8,0.505376344,0.494623656,47,46,8,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
Essential,The Guardian,Yes,22/2/2022,16/2/2022,21/2/2022,6,Online,1089,1013,3.1,Respondent allocated,35,38,9,5,3,4,6,0.521276596,0.478723404,49,45,6,https://essentialreport.com.au/wp-content/uploads/2022/02/Essential-Report-Disclosure-Statement-1.pdf,,,,https://essentialreport.com.au/tag/federal-election,
